food_item,calories_per_unit
shrimp,99
carrot,25
broccoli,55
haddock,206
onion,40
pasta,221
watermelon,30
green beans,35
kidney beans,112
oats,110
pork,242
mango,201
egg,78
broccoli,55
mango,201
green beans,35
crab,83
anchovies,189
mushroom,15
banana,105
strawberries,49
kiwi,41
kiwi,41
blueberries,84
zucchini,33
strawberries,49
oysters,98
almonds,164
potato,130
haddock,206
onion,40
orange,62
tuna,100
lettuce,15
green beans,35
asparagus,20
bread,79
pasta,221
coconut milk,42
ham,300
soy milk,30
zucchini,33
anchovies,189
crab,83
broccoli,55
pomegranate,234
tuna,100
watermelon,30
avocado,234
black beans,227
mango,201
trout,109
bell pepper,24
cabbage,25
prosciutto,280
potato,130
lettuce,15
apple,95
asparagus,20
peanut butter,188
kiwi,41
quinoa,120
barley,193
apple,95
turkey,130
quinoa,120
bulgur,222
bell pepper,24
pork,242
peanut butter,188
green beans,35
cod,22
chickpeas,269
avocado,234
haddock,206
kidney beans,112
barley,193
blueberries,84
cabbage,25
cherry,50
turkey,130
cucumber,16
sardines,105
onion,40
banana,105
salmon,208
ham,300
plum,46
cheese,113
zucchini,33
rye,45
black beans,227
quinoa,120
tomato,22
cucumber,16
scallops,69
kidney beans,112
clams,199
pear,101
corn,96
mango,201
turkey,130
spinach,23
blueberries,84
grapes,62
salami,350
corn,96
scallops,69
bacon,50
pepperoni,350
corn,96
almonds,164
prosciutto,280
turkey,130
almond milk,46
corn,96
scallops,69
apple,95
pasta,221
black beans,227
oats,110
sausage,200
coconut milk,42
peach,39
pineapple,82
mango,201
corn,96
mushroom,15
pineapple,82
tofu,76
bell pepper,24
yogurt,59
milk,103
apple,95
trout,109
green beans,35
shrimp,99
onion,40
black beans,227
turkey,130
rice,206
apple,95
egg,78
mango,201
bulgur,222
chicken breast,165
peach,39
carrot,25
haddock,206
sausage,200
plum,46
bulgur,222
peach,39
lentils,116
salmon,208
egg,78
lamb,400
barley,193
lobster,43
rye,45
tuna,100
quinoa,120
lobster,43
black beans,227
egg,78
plum,46
cherry,50
trout,109
peach,39
asparagus,20
tofu,76
crab,83
pomegranate,234
quinoa,120
salami,350
beef,250
bulgur,222
peas,59
ham,300
salmon,208
haddock,206
salmon,208
pear,101
lettuce,15
salami,350
yogurt,59
yogurt,59
kiwi,41
mango,201
soy milk,30
ham,300
banana,105
apple,95
green beans,35
oysters,98
almonds,164
potato,130
banana,105
lobster,43
bread,79
almonds,164
broccoli,55
pomegranate,234
onion,40
avocado,234
chickpeas,269
eggplant,20
prosciutto,280
tomato,22
bacon,50
haddock,206
pineapple,82
rye,45
bacon,50
bacon,50
beef,250
avocado,234
bell pepper,24
shrimp,99
cucumber,16
cod,22
spinach,23
rice,206
blueberries,84
wheat,118
mango,201
pomegranate,234
sardines,105
clams,199
milk,103
salami,350
cauliflower,22
cabbage,25
onion,40
plum,46
cheese,113
pomegranate,234
cucumber,16
anchovies,189
prosciutto,280
salami,350
strawberries,49
barley,193
watermelon,30
orange,62
bell pepper,24
bread,79
chickpeas,269
scallops,69
carrot,25
mushroom,15
cheese,113
blueberries,84
salami,350
coconut milk,42
asparagus,20
duck,300
banana,105
quinoa,120
lamb,400
black beans,227
chickpeas,269
kiwi,41
blueberries,84
mango,201
peanut butter,188
potato,130
bell pepper,24
potato,130
kiwi,41
rye,45
garlic,4
quinoa,120
bulgur,222
tomato,22
spinach,23
oysters,98
oats,110
pear,101
kiwi,41
almonds,164
sausage,200
bacon,50
coconut milk,42
cod,22
blueberries,84
shrimp,99
cod,22
cod,22
bell pepper,24
cheese,113
apple,95
almond milk,46
zucchini,33
cauliflower,22
cucumber,16
garlic,4
cherry,50
chicken breast,165
eggplant,20
black beans,227
bread,79
yogurt,59
eggplant,20
rye,45
corn,96
almond milk,46
cheese,113
haddock,206
barley,193
bulgur,222
green beans,35
bread,79
coconut milk,42
tilapia,45
sausage,200
egg,78
peanut butter,188
bacon,50
tilapia,45
clams,199
tuna,100
cucumber,16
ham,300
bread,79
pork,242
rye,45
blueberries,84
blueberries,84
green beans,35
peach,39
carrot,25
